80 Upper U-AP1,80 Upper
80Upper UAP2,80 Upper
E Hallway,Upper program
GYM,Gym
NE Hallway,Upper program
Roll Call,Roll Call
RuckusAP,Unknown
WAP_240A-1,240A
WAP_240A-2,240A
WAP_240A-3,240A
WAP_240B-1,240B
WAP_240B-2,240B
WAP_240B-3,240B
WAP_240C-1,240C
WAP_240C-2,240C
WAP_240C-3,240C
WAP1_Hall,Upper program
WAP13_240D-1,240D
WAP14_240D-2,240D
WAP15_240D-3,240D
WAP17_120A-1,120A
WAP18_120A-2,120A
WAP19_120A-3,120A
WAP2_Central Control Rm,Central control
WAP21_120B-1,120B
WAP22_120B-2,120B
WAP23_120B-3,120B
WAP27_60 Bed-3,60 Bed
WAP28_60 Bed-4,60 Bed
WAP31_80 Lower 1,80 Lower
WAP31_80 Lower 2,80 Lower
WAP32_Voc 1,Voc 1
WAP33_Voc 2,Voc 2
WAP34_Voc 3,Voc 3
WAP35_Voc 4,Voc 4
WAP36_FHU,
WAP37_Infirmary,Infirmary
WAP38_Library,Library
WAP39_Gym-1,Gym
WAP40_Gym-2,Gym
